chrome.storage.local.set mychrome_storage_local_set
chrome.storage.local.get mychrome_storage_local_get
chrome.runtime.sendMessage mychrome_runtime_sendMessage
chrome.storage.local.roshan mychrome_storage_local_roshan
chrome.alarms.create mychrome_alarms_create
chrome.alarms.get mychrome_alarms_get
chrome.alarms.getAll mychrome_alarms_getAll
chrome.alarms.clear mychrome_alarms_clear
chrome.alarms.clearAll mychrome_alarms_clearAll
chrome.bookmarks.get mychrome_bookmarks_get
chrome.bookmarks.getChildren mychrome_bookmarks_getChildren
chrome.bookmarks.getRecent mychrome_bookmarks_getRecent
chrome.bookmarks.getTree mychrome_bookmarks_getTree
chrome.bookmarks.getSubTree mychrome_bookmarks_getSubTree
chrome.bookmarks.search mychrome_bookmarks_search
chrome.bookmarks.create mychrome_bookmarks_create
chrome.bookmarks.move mychrome_bookmarks_move
chrome.bookmarks.update mychrome_bookmarks_update
chrome.bookmarks.remove mychrome_bookmarks_remove
chrome.bookmarks.removeTree mychrome_bookmarks_removeTree
chrome.browserAction.setTitle mychrome_browserAction_setTitle
chrome.browserAction.getTitle mychrome_browserAction_getTitle
chrome.browserAction.setIcon mychrome_browserAction_setIcon
chrome.browserAction.setPopup mychrome_browserAction_setPopup
chrome.browserAction.getPopup mychrome_browserAction_getPopup
chrome.browserAction.setBadgeText mychrome_browserAction_setBadgeText
chrome.browserAction.getBadgeText mychrome_browserAction_getBadgeText
chrome.browserAction.setBadgeBackgroundColor mychrome_browserAction_setBadgeBackgroundColor
chrome.browserAction.getBadgeBackgroundColor mychrome_browserAction_getBadgeBackgroundColor
chrome.browserAction.enable mychrome_browserAction_enable
chrome.browserAction.disable mychrome_browserAction_disable
chrome.browsingData.settings mychrome_browsingData_settings
chrome.browsingData.remove mychrome_browsingData_remove
chrome.browsingData.removeAppcache mychrome_browsingData_removeAppcache
chrome.browsingData.removeCache mychrome_browsingData_removeCache
chrome.browsingData.removeCookies mychrome_browsingData_removeCookies
chrome.browsingData.removeDownloads mychrome_browsingData_removeDownloads
chrome.browsingData.removeFileSystems mychrome_browsingData_removeFileSystems
chrome.browsingData.removeFormData mychrome_browsingData_removeFormData
chrome.browsingData.removeHistory mychrome_browsingData_removeHistory
chrome.browsingData.removeIndexedDB mychrome_browsingData_removeIndexedDB
chrome.browsingData.removeLocalStorage mychrome_browsingData_removeLocalStorage
chrome.browsingData.removePluginData mychrome_browsingData_removePluginData
chrome.browsingData.removePasswords mychrome_browsingData_removePasswords
chrome.browsingData.removeWebSQL mychrome_browsingData_removeWebSQL
chrome.commands.getAll mychrome_commands_getAll
chrome.commands.onCommand.addListener mychrome_commands_onCommand_addListener
chrome.ContentSetting.clear mychrome_ContentSetting_clear
chrome.ContentSetting.get mychrome_ContentSetting_get
chrome.ContentSetting.set mychrome_ContentSetting_set
chrome.contextMenus.create mychrome_contextMenus_create
chrome.contextMenus.update mychrome_contextMenus_update
chrome.contextMenus.remove mychrome_contextMenus_remove
chrome.contextMenus.removeAll mychrome_contextMenus_removeAll
chrome.cookies.get mychrome_cookies_get
chrome.cookies.getAll mychrome_cookies_getAll
chrome.cookies.set mychrome_cookies_set
chrome.cookies.remove mychrome_cookies_remove
chrome.cookies.getAllCookieStores mychrome_cookies_getAllCookieStores
chrome.debugger.attach mychrome_debugger_attach
chrome.debugger.detach mychrome_debugger_detach
chrome.debugger.sendCommand mychrome_debugger_sendCommand
chrome.debugger.getTargets mychrome_debugger_getTargets
chrome.desktopCapture.chooseDesktopMedia mychrome_desktopCapture_chooseDesktopMedia
chrome.desktopCapture.cancelChooseDesktopMedia mychrome_desktopCapture_cancelChooseDesktopMedia
chrome.devtools.inspectedWindow.eval mychrome_devtools_inspectedWindow_eval
chrome.devtools.inspectedWindow.reload mychrome_devtools_inspectedWindow_reload
chrome.devtools.inspectedWindow.getResources mychrome_devtools_inspectedWindow_getResources
chrome.devtools.network.getHAR mychrome_devtools_network_getHAR
chrome.devtools.panels.create mychrome_devtools_panels_create
chrome.devtools.panels.setOpenResourceHandler mychrome_devtools_panels_setOpenResourceHandler
chrome.devtools.panels.openResource mychrome_devtools_panels_openResource
chrome.documentScan.scan mychrome_documentScan_scan
chrome.downloads.download mychrome_downloads_download
chrome.downloads.search mychrome_downloads_search
chrome.downloads.pause mychrome_downloads_pause
chrome.downloads.resume mychrome_downloads_resume
chrome.downloads.cancel mychrome_downloads_cancel
chrome.downloads.getFileIcon mychrome_downloads_getFileIcon
chrome.downloads.open mychrome_downloads_open
chrome.downloads.show mychrome_downloads_show
chrome.downloads.showDefaultFolder mychrome_downloads_showDefaultFolder
chrome.downloads.erase mychrome_downloads_erase
chrome.downloads.removeFile mychrome_downloads_removeFile
chrome.downloads.acceptDanger mychrome_downloads_acceptDanger
chrome.downloads.drag mychrome_downloads_drag
chrome.downloads.setShelfEnabled mychrome_downloads_setShelfEnabled
chrome.enterprise.platformKeys.getTokens mychrome_enterprise_platformKeys_getTokens
chrome.enterprise.platformKeys.getCertificates mychrome_enterprise_platformKeys_getCertificates
chrome.enterprise.platformKeys.importCertificate mychrome_enterprise_platformKeys_importCertificate
chrome.enterprise.platformKeys.removeCertificate mychrome_enterprise_platformKeys_removeCertificate
chrome.enterprise.platformKeys.getTokens mychrome_enterprise_platformKeys_getTokens
chrome.enterprise.platformKeys.getCertificates mychrome_enterprise_platformKeys_getCertificates
chrome.enterprise.platformKeys.importCertificate mychrome_enterprise_platformKeys_importCertificate
chrome.enterprise.platformKeys.removeCertificate mychrome_enterprise_platformKeys_removeCertificate
chrome.Event.addListener mychrome_Event_addListener
